id,location,latitude,longitude
103,"Birkat as Sab‘, Al Minūfīyah, Egypt",30.6338,31.0848
104,"Birmingham, United Kingdom",52.48,-1.9025
105,"Biskra, Algeria",34.85,5.7333
106,"Biskupiec, Warmińsko-Mazurskie, Poland",53.85,20.95
107,"Biyalā, Kafr ash Shaykh, Egypt",31.1747,31.2204
108,"Biłgoraj, Lubelskie, Poland",50.55,22.7333
109,"Blachownia, Śląskie, Poland",50.7833,18.9667
110,"Bochnia, Małopolskie, Poland",49.9833,20.4333
111,"Bochum, North Rhine-Westphalia, Germany",51.4819,7.2158
112,"Bogatynia, Dolnośląskie, Poland",50.9069,14.9569
113,"Bogucice, Śląskie, Poland",50.2668,19.0397
114,"Boguszów-Gorce, Dolnośląskie, Poland",50.7667,16.2
115,"Bolesławiec, Dolnośląskie, Poland",51.2667,15.5667
116,"Bologna, Emilia-Romagna, Italy",44.4939,11.3428
117,"Bolszewo, Pomorskie, Poland",54.6242,18.1753
118,"Bolton, United Kingdom",53.578,-2.429
119,"Bonn, North Rhine-Westphalia, Germany",50.7333,7.1
120,"Bordeaux, Nouvelle-Aquitaine, France",44.84,-0.58
121,"Bornova, İzmir, Turkey",38.4697,27.2211
122,"Bradford, United Kingdom",53.8,-1.75
123,"Braniewo, Warmińsko-Mazurskie, Poland",54.3833,19.8333
124,"Bratislava, Slovakia",48.1439,17.1097
125,"Braunschweig, Lower Saxony, Germany",52.2667,10.5167
126,"Braşov, Romania",45.6667,25.6167
127,"Bremen, Germany",53.0758,8.8072
128,"Brest, Belarus",52.1347,23.6569
129,"Bristol, United Kingdom",51.4536,-2.5975
130,"Brno, Jihomoravský Kraj, Czechia",49.1925,16.6083
131,"Brodnica, Kujawsko-Pomorskie, Poland",53.2597,19.3956
132,"Brussels, Belgium",50.8467,4.3525
133,"Brwinów, Mazowieckie, Poland",52.1417,20.7167
134,"Bryansk, Russia",53.2333,34.3667
135,"Brzeg Dolny, Dolnośląskie, Poland",51.2708,16.7208
136,"Brzeg, Opolskie, Poland",50.8667,17.4833
137,"Brzesko, Małopolskie, Poland",49.9667,20.6167
138,"Brzeszcze, Małopolskie, Poland",50.0,19.15
139,"Brzeziny, Łódzkie, Poland",51.8,19.75
140,"Buca, İzmir, Turkey",38.35,27.1667
141,"Bucharest, Bucureşti, Romania",44.4325,26.1039
142,"Budapest, Hungary",47.4925,19.0514
143,"Bukowno, Małopolskie, Poland",50.2681,19.4631
144,"Burgas, Bulgaria",42.503,27.4702
145,"Bursa, Turkey",40.1833,29.05
